Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 23.7334: (MOVER_FURGONETA F2 D1 A1 CA1 CIUDAD1) [D:1.0000; C:0.1000]
 24.2000: (LOAD F4 E4 P24) [D:2.0000; C:0.1000]
 24.7334: (LOAD F2 CA1 P40) [D:4.0000; C:0.1000]
 24.7334: (LOAD F2 CA1 P20) [D:4.0000; C:0.1000]
 24.7334: (UNLOAD F2 CA1 P6) [D:4.0000; C:0.1000]
 24.7334: (LOAD F2 CA1 P22) [D:3.0000; C:0.1000]
 24.7334: (LOAD F2 CA1 P1) [D:2.0000; C:0.1000]
 25.2000: (UNLOAD T2 E4 P3) [D:4.0000; C:0.1000]
 25.2000: (UNLOAD T2 E4 P34) [D:2.0000; C:0.1000]
 26.2000: (MOVER_TREN T1 E4 E1) [D:2.5000; C:0.1000]
 26.2000: (LOAD F4 E4 P13) [D:4.0000; C:0.1000]
 27.2000: (LOAD F4 E4 P34) [D:2.0000; C:0.1000]
 28.7334: (MOVER_FURGONETA F2 D1 CA1 E1 CIUDAD1) [D:1.0000; C:0.1000]
 29.2000: (MOVER_TREN T2 E4 E1) [D:2.5000; C:0.1000]
 29.2000: (LOAD F4 E4 P3) [D:4.0000; C:0.1000]
 29.7334: (UNLOAD F2 E1 P1) [D:2.0000; C:0.1000]
 31.7000: (MOVER_TREN T2 E1 E4) [D:2.5000; C:0.1000]
 31.7334: (MOVER_FURGONETA F2 D1 E1 CA1 CIUDAD1) [D:1.0000; C:0.1000]
 31.7334: (LOAD T1 E1 P1) [D:2.0000; C:0.1000]
 32.7334: (MOVER_FURGONETA F2 D1 CA1 E1 CIUDAD1) [D:1.0000; C:0.1000]
 33.7334: (UNLOAD F2 E1 P22) [D:3.0000; C:0.1000]
 34.2000: (UNLOAD T2 E4 P14) [D:2.0000; C:0.1000]
 36.2000: (MOVER_TREN T2 E4 E3) [D:2.5000; C:0.1000]
 36.2000: (LOAD F4 E4 P14) [D:2.0000; C:0.1000]
 36.7334: (LOAD T1 E1 P22) [D:3.0000; C:0.1000]
