model_name,f1_macro
SVC,0.29409091656318365
LinearSVC,0.38320093977247727
GaussianNB,0.3422514817837582
GradientBoostingClassifier,0.3706271712347915
SGDClassifier,0.3714207940274236
KNeighborsClassifier,0.32887230644235027
