Plan computed:
   Time: (ACTION) [action Duration; action Cost]
 35.8000: (UNLOAD F4 CA3 P4) [D:2.0000; C:0.1000]
 35.8000: (UNLOAD F4 CA3 P1) [D:2.0000; C:0.1000]
 35.8000: (UNLOAD F4 CA3 P3) [D:4.0000; C:0.1000]
 35.9000: (UNLOAD F1 CA1 P6) [D:4.0000; C:0.1000]


Solution number: 10
Total time:      9.42
Search time:     9.40
Actions:         79
Execution cost:  7.90
Duration:        39.900
Plan quality:    39.900
