0.000000, 0, 1
8.794540, 200000, 5495
10.309292, 400000, 9664
15.084835, 600000, 13261
24.038307, 800000, 16159
28.394617, 1000000, 17982
42.646437, 1200000, 19312
60.212344, 1400000, 20415
63.944834, 1600000, 21390
73.359477, 1800000, 22338
94.022128, 2000000, 23229
77.459604, 2200000, 24099
139.916566, 2400000, 24918
146.371110, 2600000, 25704
162.578916, 2800000, 26503
145.379701, 3000000, 27332
170.864872, 3200000, 28151
195.570964, 3400000, 28930
158.013261, 3600000, 29711
223.552648, 3800000, 30533
230.016077, 4000000, 31349
236.428465, 4200000, 32145
227.993051, 4400000, 32956
217.474262, 4600000, 33724
246.490762, 4800000, 34477
0.000000, 0, 1
0.000000, 0, 1
0.000000, 0, 1
9.000000, 0, 1
9.000000, 0, 1
0.000000, 0, 1
8.807511, 200000, 5299
